,0
335,"33.772075,-117.301693,2012-12-01T12:00:00"
336,"33.772075,-117.301693,2012-12-02T12:00:00"
337,"33.772075,-117.301693,2012-12-03T12:00:00"
338,"33.772075,-117.301693,2012-12-04T12:00:00"
339,"33.772075,-117.301693,2012-12-05T12:00:00"
340,"33.772075,-117.301693,2012-12-06T12:00:00"
341,"33.772075,-117.301693,2012-12-07T12:00:00"
342,"33.772075,-117.301693,2012-12-08T12:00:00"
343,"33.772075,-117.301693,2012-12-09T12:00:00"
344,"33.772075,-117.301693,2012-12-10T12:00:00"
345,"33.772075,-117.301693,2012-12-11T12:00:00"
346,"33.772075,-117.301693,2012-12-12T12:00:00"
347,"33.772075,-117.301693,2012-12-13T12:00:00"
348,"33.772075,-117.301693,2012-12-14T12:00:00"
349,"33.772075,-117.301693,2012-12-15T12:00:00"
350,"33.772075,-117.301693,2012-12-16T12:00:00"
351,"33.772075,-117.301693,2012-12-17T12:00:00"
352,"33.772075,-117.301693,2012-12-18T12:00:00"
353,"33.772075,-117.301693,2012-12-19T12:00:00"
354,"33.772075,-117.301693,2012-12-20T12:00:00"
355,"33.772075,-117.301693,2012-12-21T12:00:00"
356,"33.772075,-117.301693,2012-12-22T12:00:00"
357,"33.772075,-117.301693,2012-12-23T12:00:00"
358,"33.772075,-117.301693,2012-12-24T12:00:00"
359,"33.772075,-117.301693,2012-12-25T12:00:00"
360,"33.772075,-117.301693,2012-12-26T12:00:00"
361,"33.772075,-117.301693,2012-12-27T12:00:00"
362,"33.772075,-117.301693,2012-12-28T12:00:00"
363,"33.772075,-117.301693,2012-12-29T12:00:00"
364,"33.772075,-117.301693,2012-12-30T12:00:00"
365,"33.772075,-117.301693,2012-12-31T12:00:00"
366,"33.772075,-117.301693,2013-01-01T12:00:00"
367,"33.772075,-117.301693,2013-01-02T12:00:00"
368,"33.772075,-117.301693,2013-01-03T12:00:00"
369,"33.772075,-117.301693,2013-01-04T12:00:00"
370,"33.772075,-117.301693,2013-01-05T12:00:00"
371,"33.772075,-117.301693,2013-01-06T12:00:00"
