,index,latlngtime,areacode,tggl,weather
22801,22801,"33.835541,-117.664297,2014-05-27T12:00:00",13,27/5/2014,Partly cloudy in the morning.
22802,22802,"33.835541,-117.664297,2014-05-28T12:00:00",13,28/5/2014,Clear throughout the day.
22803,22803,"33.835541,-117.664297,2014-05-29T12:00:00",13,29/5/2014,Partly cloudy in the morning.
22804,22804,"33.835541,-117.664297,2014-05-30T12:00:00",13,30/5/2014,Clear throughout the day.
22805,22805,"33.835541,-117.664297,2014-05-31T12:00:00",13,31/5/2014,Clear throughout the day.
22806,22806,"33.835541,-117.664297,2014-06-01T12:00:00",13,1/6/2014,Dry throughout the day.
22807,22807,"33.835541,-117.664297,2014-06-02T12:00:00",13,2/6/2014,Clear throughout the day.
22808,22808,"33.835541,-117.664297,2014-06-03T12:00:00",13,3/6/2014,Dry throughout the day.
22809,22809,"33.835541,-117.664297,2014-06-04T12:00:00",13,4/6/2014,Clear throughout the day.
22810,22810,"33.835541,-117.664297,2014-06-05T12:00:00",13,5/6/2014,Clear throughout the day.
22811,22811,"33.835541,-117.664297,2014-06-06T12:00:00",13,6/6/2014,Clear throughout the day.
22812,22812,"33.835541,-117.664297,2014-06-07T12:00:00",13,7/6/2014,Partly cloudy in the morning.
22813,22813,"33.835541,-117.664297,2014-06-08T12:00:00",13,8/6/2014,Clear throughout the day.
22814,22814,"33.835541,-117.664297,2014-06-09T12:00:00",13,9/6/2014,Clear throughout the day.
22815,22815,"33.835541,-117.664297,2014-06-10T12:00:00",13,10/6/2014,Clear throughout the day.
22816,22816,"33.835541,-117.664297,2014-06-11T12:00:00",13,11/6/2014,Clear throughout the day.
22817,22817,"33.835541,-117.664297,2014-06-12T12:00:00",13,12/6/2014,Clear throughout the day.
22818,22818,"33.835541,-117.664297,2014-06-13T12:00:00",13,13/6/2014,Clear throughout the day.
22819,22819,"33.835541,-117.664297,2014-06-14T12:00:00",13,14/6/2014,Partly cloudy in the morning.
22820,22820,"33.835541,-117.664297,2014-06-15T12:00:00",13,15/6/2014,Partly cloudy in the morning.
22821,22821,"33.835541,-117.664297,2014-06-16T12:00:00",13,16/6/2014,Partly cloudy in the morning.
22822,22822,"33.835541,-117.664297,2014-06-17T12:00:00",13,17/6/2014,Clear throughout the day.
22823,22823,"33.835541,-117.664297,2014-06-18T12:00:00",13,18/6/2014,Partly cloudy in the morning.
22824,22824,"33.835541,-117.664297,2014-06-19T12:00:00",13,19/6/2014,Clear throughout the day.
22825,22825,"33.835541,-117.664297,2014-06-20T12:00:00",13,20/6/2014,Clear throughout the day.
22826,22826,"33.835541,-117.664297,2014-06-21T12:00:00",13,21/6/2014,Clear throughout the day.
22827,22827,"33.835541,-117.664297,2014-06-22T12:00:00",13,22/6/2014,Clear throughout the day.
22828,22828,"33.835541,-117.664297,2014-06-23T12:00:00",13,23/6/2014,Clear throughout the day.
22829,22829,"33.835541,-117.664297,2014-06-24T12:00:00",13,24/6/2014,Clear throughout the day.
22830,22830,"33.835541,-117.664297,2014-06-25T12:00:00",13,25/6/2014,Clear throughout the day.
22831,22831,"33.835541,-117.664297,2014-06-26T12:00:00",13,26/6/2014,Partly cloudy in the morning.
22832,22832,"33.835541,-117.664297,2014-06-27T12:00:00",13,27/6/2014,Clear throughout the day.
22833,22833,"33.835541,-117.664297,2014-06-28T12:00:00",13,28/6/2014,Partly cloudy in the morning.
22834,22834,"33.835541,-117.664297,2014-06-29T12:00:00",13,29/6/2014,Clear throughout the day.
22835,22835,"33.835541,-117.664297,2014-06-30T12:00:00",13,30/6/2014,Clear throughout the day.
22836,22836,"33.835541,-117.664297,2014-07-01T12:00:00",13,1/7/2014,Clear throughout the day.
22837,22837,"33.835541,-117.664297,2014-07-02T12:00:00",13,2/7/2014,Clear throughout the day.
22838,22838,"33.835541,-117.664297,2014-07-03T12:00:00",13,3/7/2014,Clear throughout the day.
22839,22839,"33.835541,-117.664297,2014-07-04T12:00:00",13,4/7/2014,Clear throughout the day.
22840,22840,"33.835541,-117.664297,2014-07-05T12:00:00",13,5/7/2014,Dry throughout the day.
22841,22841,"33.835541,-117.664297,2014-07-06T12:00:00",13,6/7/2014,Partly cloudy in the morning and dry throughout the day.
22842,22842,"33.835541,-117.664297,2014-07-07T12:00:00",13,7/7/2014,Clear throughout the day.
22843,22843,"33.835541,-117.664297,2014-07-08T12:00:00",13,8/7/2014,Clear throughout the day.
